# Per-cobra open-loop response of the two blind moves, measured 2026-09-14 with the
# dots rotated 90 deg in theta so both moves were visible to MCS.
#
# landingGain: measured phi change over commanded, for the ramp's move to the
#   landing fraction, whose start is the measured iteration-7 angle.
# targetGain:  the same for the move to dotTarget, commanded as a fraction of the
#   chord from the tracker's belief that it is at the landing fraction.
#
# The two are only weakly related (r = 0.39), so one gain cannot stand for both.
# dotTarget for a depth D, given the measured iteration-7 angle phi7:
#   landed = phi7 + landingGain * (phiAt(landing) - phi7)
#   dotTarget = landing + (phiAt(D) - landed) / (targetGain * chord)
# calibrated False means the fleet default applies.
cobraId,landingGain,targetGain,calibrated
636,1.1073,1.0162,True
637,1.0051,0.8311,True
638,0.9830,1.0503,True
639,1.0450,1.0022,True
640,0.8575,0.9208,True
641,0.7921,0.9218,True
642,1.2774,1.5786,True
643,1.1958,1.2132,True
644,0.9010,0.8802,True
645,1.0667,1.1194,True
646,1.1504,1.0275,True
647,0.8743,0.8708,True
648,1.0000,1.0000,False
649,1.0055,0.9057,True
650,0.9616,1.1596,True
651,1.1921,1.1818,True
652,0.9657,0.8632,True
653,1.0625,0.8954,True
654,0.8643,1.3277,True
655,0.9193,0.8737,True
656,1.0861,0.9402,True
657,1.1308,1.1516,True
658,0.9428,0.9984,True
659,1.1009,1.1152,True
660,1.0854,1.1386,True
661,1.1596,0.9777,True
662,1.0221,0.9669,True
663,1.0724,1.0001,True
664,0.9808,0.8560,True
665,1.1786,0.9548,True
666,0.9789,1.0048,True
667,0.9728,0.8453,True
668,1.1640,1.0753,True
669,0.9129,0.9493,True
670,0.8461,0.8368,True
671,0.9200,1.3340,True
672,1.2049,0.9162,True
673,0.9098,0.9256,True
674,1.4270,1.0259,True
675,1.1170,1.0524,True
676,1.0834,1.0777,True
677,1.0338,1.0386,True
678,0.9921,0.9853,True
679,1.0504,1.2874,True
680,1.0296,1.0291,True
681,1.1683,1.1581,True
682,0.9307,1.2111,True
683,1.1800,1.0511,True
684,0.6696,0.9441,True
685,1.0908,1.2814,True
686,1.1895,0.9691,True
687,0.8271,0.9270,True
688,1.2049,1.0386,True
689,0.9977,0.8944,True
690,0.9291,1.1787,True
691,1.1551,1.0885,True
692,0.9745,0.9349,True
693,1.4836,1.1918,True
