id_dot,x_dot,y_dot,r_dot
684,2889.55,1856.98,9.94181
685,2779.66,4949.61,9.929310000000001
686,2686.56,4898.36,9.92415
687,2776.85,4843.34,9.93041
688,2683.75,4792.09,9.925239999999999
689,2774.06,4737.04,9.93143
690,2680.95,4685.79,9.92623
691,2771.28,4630.69,9.932310000000001
692,2678.18,4579.45,9.92715
693,2768.52,4524.32,9.93317
694,2675.42,4473.08,9.92794
695,2765.79,4417.91,9.933869999999999
696,2672.69,4366.68,9.92865
697,2763.07,4311.47,9.93453
698,2669.97,4260.25,9.9293
699,2760.36,4205.01,9.935130000000001
700,2667.27,4153.8,9.9299
701,2757.68,4098.52,9.93568
702,2664.6,4047.33,9.93037
703,2755.02,3992.01,9.936160000000001
704,2661.94,3940.84,9.9308
705,2752.38,3885.49,9.93652
706,2659.3,3834.33,9.9312
707,2749.76,3778.95,9.9369
708,2656.69,3727.81,9.931510000000001
709,2747.15,3672.4,9.93719
710,2654.09,3621.27,9.9318
711,2744.57,3565.84,9.93743
712,2651.52,3514.74,9.93202
713,2742.01,3459.27,9.9376
714,2648.97,3408.19,9.932139999999999
715,2739.47,3352.7,9.93776
716,2646.44,3301.65,9.93225
717,2736.95,3246.14,9.93782
718,2643.92,3195.1,9.93224
719,2734.45,3139.57,9.93781
720,2641.43,3088.57,9.93218
721,2731.97,3033.01,9.937710000000001
722,2638.96,2982.03,9.93206
723,2729.51,2926.46,9.937619999999999
724,2636.51,2875.51,9.93182
725,2727.06,2819.92,9.93741
726,2634.09,2769.0,9.93148
727,2724.64,2713.4,9.93705
728,2631.68,2662.51,9.93112
729,2722.24,2606.89,9.93665
730,2629.29,2556.03,9.93058
731,2719.86,2500.4,9.93613
732,2626.92,2449.58,9.9299
733,2717.5,2393.93,9.93542
734,2624.58,2343.14,9.929089999999999
735,2715.15,2287.49,9.93468
736,2622.25,2236.74,9.928139999999999
737,2712.83,2181.08,9.93372
738,2619.95,2130.37,9.92695
739,2710.53,2074.7,9.93259
740,2617.68,2024.03,9.92562
741,2708.25,1968.35,9.9313
742,2599.19,5059.5,9.916
743,2506.19,5008.25,9.91019
744,2596.34,4953.32,9.91741
745,2503.33,4902.07,9.911610000000001
746,2593.5,4847.1,9.91864
747,2500.5,4795.86,9.912930000000001
748,2590.69,4740.84,9.9198
749,2497.69,4689.6,9.91403
750,2587.9,4634.55,9.92079
751,2494.89,4583.31,9.91508
752,2585.12,4528.22,9.92169
753,2492.12,4476.99,9.915939999999999
754,2582.37,4421.85,9.9225
