id,x_dot,y_dot,r_dot
4.21000e+02,5.20051e+03,1.95714e+03,1.00208e+01
4.22000e+02,5.29437e+03,2.00824e+03,1.00218e+01
4.23000e+02,5.38823e+03,2.05937e+03,1.00225e+01
4.24000e+02,5.48211e+03,2.11052e+03,1.00229e+01
4.25000e+02,5.57600e+03,2.16170e+03,1.00231e+01
4.26000e+02,5.66989e+03,2.21289e+03,1.00230e+01
4.27000e+02,5.76378e+03,2.26411e+03,1.00227e+01
4.28000e+02,5.85767e+03,2.31534e+03,1.00220e+01
4.29000e+02,5.95155e+03,2.36659e+03,1.00211e+01
4.30000e+02,6.04543e+03,2.41785e+03,1.00200e+01
4.31000e+02,6.13930e+03,2.46912e+03,1.00186e+01
4.32000e+02,6.23315e+03,2.52040e+03,1.00171e+01
4.33000e+02,6.32699e+03,2.57169e+03,1.00153e+01
